canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-String[],F16-Object,F16-NA,F16-ExecRow,F16-void,F16-GroupFetchScanController,F16-int,F16-ScanController,F16-URL,F16-Properties,F16-boolean,F16-CostEstimate,F16-String,F16-InputStream,F16-SQLException,F16-TupleDescriptor,F16-Void,F16-ClientXAConnection,F16-Connection,F16-Object[],F3-NA,F3-int[],F3-getContextManager(),F3-ResultSet,F3-InputStream,F3-TransactionController,F3-null,F3-byte[],F3-boolean,F3-char,F3-String,F3-long,F3-ExecRow,F3-SQLWarning,F3-int,F3-PrintWriter,F3-SQLException,F3-QualifiedIdentifier,F3-DataValueDescriptor,F3-Connection,F7-|,F7--,F7-/,F7-++,F7---,F7--=,F7-+=,F7-&,F7-NA,F7-*,F7-+,F12-long,F12-int,F12-NA,F12-LocalizedResource,F12-boolean,F12-int[],F12-SQLException,F12-LocalizedOutput,F12-String[],F12-Agent,F12-byte[],F12-String,F12-Section,F12-Connection,F12-InputStream,F12-Hashtable,F12-ConnectionEnv,F12-ProductLevel,F12-PrintStream,F12-TypeDescriptor,F17-final,F17-static,F17-NA,F17-final-final,F2-ResultSet,F2-SystemProcedures,F2-Class,F2-JDBCDisplayUtil,F2-BrokeredConnection,F2-NA,F2-Runtime,F2-Integer,F2-StringBuffer,F2-Properties,F2-Connection,F2-String,F2-ij,F2-PreparedStatement,F2-System,F2-SQLParserTokenManager,F2-DRDAConnThread,F2-Hashtable<Integer String>,F2-Statement,F2-File,F6-NA,F6-org.apache.derby.impl.tools.ij.ijResultSetResult,F6-java.io.InputStreamReader,F6-java.io.FileOutputStream,F6-org.apache.derby.impl.tools.ij.TokenMgrError,F6-java.util.Vector,F6-java.util.Properties,F6-java.io.FileInputStream,F6-org.apache.derby.impl.sql.depend.BasicDependency,F6-java.io.PrintWriter,F6-org.apache.derby.client.net.ClientXAConnection,F6-org.apache.derby.impl.store.access.RAMTransaction,F6-java.lang.Integer,F6-java.io.FileReader,F6-CharacterStreamDescriptor.Builder,F6-java.io.File,F6-java.lang.String,F6-java.lang.Boolean,F6-java.lang.StringBuffer,F6-org.apache.derby.impl.tools.ij.Token,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-NA,F14-final,F1-executeQuery,F1-ReInit,F1-size,F1-NA,F1-getBoolean,F1-prepareStatement,F1-jj_consume_token,F1-next,F1-getDefaultConn,F1-readChar,F1-get,F1-getNode,F1-append,F1-equals,F1-getProperty,F1-put,F1-qualifiedIdentifier,F1-toString,F1-executeUpdate,F1-jjStopAtPos,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-javax.naming.InitialContext,F5-java.io.OutputStreamWriter,F5-java.lang.Thread,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.io.InputStream,F5-java.io.InputStreamReader,F5-java.lang.Number,F5-java.util.Date,F5-java.io.Reader,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-java.lang.Exception,F5-java.util.Dictionary,F9-isXAConnection_,F9-password,F9-traceDirectory,F9-description,F9-containerId,F9-databaseName,F9-internalReader,F9-user,F9-columnBitMap,F9-serviceType,F9-cachedCharLength,F9-array,F9-unclosableInternalReader,F9-dataSourceName,F9-NA,F9-retrieveMessageText,F9-uuidFactory,F9-backupRoot,F9-loginTimeout,F9-length,F10-NA,F10-true,F19-NA,F19-interface,F19-abstract,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Pkgnamcsn,F4-boolean,F4-InputStream,F4-long,F4-SQLWarning,F4-StringBuffer,F4-ResultSet,F4-Statement,F4-PreparedStatement,F4-char,F4-Token,F4-Connection,F4-Object,F4-void,F4-QualifiedIdentifier,F4-int,F4-String,F4-DataValueDescriptor[],F4-SQLException,F8-Connection,F8-CatalogRowFactory,F8-PermDescriptor,F8-DDColumnDependableFinder,F8-TemporaryClob,F8-UpdateServiceProperties,F8-AuthenticationServiceBase,F8-EmbeddedSimpleDataSource,F8-ControlRow,F8-IndexDescriptorImpl,F8-DoubleProperties,F8-BaseDataFileFactory,F8-DRDAProtocolExceptionInfo,F8-mtTime,F8-ClientBaseDataSource,F8-PredicateWrapper,F8-ColumnMapping,F8-NA,F8-ByteArray,F8-ijRowResult,F11-agent_,F11-savepointName_,F11-ignoreWebLogic,F11-skipJava,F11-scanned,F11-NA,F11-read,F11-section_,F11-actions,F11-CONTAINER_KEY_MEMORY_USAGE,F11-catalogType,F11-num_pages,F11-vendorCode,F11-kind,F11-connection_,F11-used,F11-binaryStream_,F11-currentConnEnv,F11-columnWidths,F11-asciiStream_,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-mamta@apache.org,F71-djd@apache.org,F71-davidvc@apache.org,F71-kmarsden@apache.org,F71-rhillegas@apache.org,F71-tmnk@apache.org,F71-bakksjo@apache.org,F71-mikem@apache.org,F71-myrnavl@apache.org,F71-kristwaa@apache.org,F71-dag@apache.org,F71-kahatlen@apache.org,F71-bandaram@apache.org,F71-oysteing@apache.org,F71-abrown@apache.org,F71-suresht@apache.org,F71-bernt@apache.org,F71-fuzzylogic@apache.org,F71-bpendleton@apache.org,F71-coar@apache.org,F74,F73,F84,url,method_name,F146,category,method_content
derby-B-107,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/DefaultInfoImpl.java,3064,True,3,15,1282,1,0,188,1,16,0.4798387096774194,128,82,0.640625,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.0003454231433506045,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,3,2222,1516,3387,41,0.0,0,5,36,46,0.0441075357535753,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,2187,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3350,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/DefaultInfoImpl.java,getReferencedColumnNames,1185,close,"public String[] getReferencedColumnNames()
	{
		return referencedColumnNames;
	}"
derby-B-108,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/IndexDescriptorImpl.java,3064,True,3,20,1282,1,0,188,1,16,0.3571428571428571,216,98,0.4537037037037037,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.0020725388601036,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,10,6969,3064,8134,41,0.0,0,5,36,46,0.0441075357535753,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,2580,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3743,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/IndexDescriptorImpl.java,baseColumnPositions,1185,close,"public int[] baseColumnPositions()
	{
		return baseColumnPositions;
	}"
derby-B-109,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/IndexDescriptorImpl.java,3064,True,3,20,1282,1,0,188,1,16,0.5082417582417582,216,98,0.4537037037037037,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.0020725388601036,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,10,6969,3064,8134,41,0.0,0,5,36,46,0.0441075357535753,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,2580,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3743,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/IndexDescriptorImpl.java,isAscending,1185,close,"public boolean			isAscending(Integer keyColumnPosition)
	{
		int i = keyColumnPosition.intValue() - 1;
		if (i < 0 || i >= baseColumnPositions.length)
			return false;
		return isAscending[i];
	}"
derby-B-112,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/IndexDescriptorImpl.java,3064,True,3,20,1282,1,0,188,1,16,0.5247252747252747,216,98,0.4537037037037037,1.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,MALICIOUS_CODE,0.0477084898572501,EI_EXPOSE_REP2,18,2,1,0.0134715025906735,0.0020725388601036,0.0003454231433506045,-1.0,0.0078740157480314,0.000868001736003472,0.0074349442379182,4.997161812611116e-05,-0.984251968503937,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,10,6969,3064,8134,41,0.0,0,5,36,46,0.0441075357535753,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,2580,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3743,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/IndexDescriptorImpl.java,setBaseColumnPositions,1185,close,"public void		setBaseColumnPositions(int[] baseColumnPositions)
	{
		this.baseColumnPositions = baseColumnPositions;
	}"
derby-B-113,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/IndexDescriptorImpl.java,3064,True,3,20,1282,1,0,188,1,16,0.5412087912087912,216,98,0.4537037037037037,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,MALICIOUS_CODE,0.0477084898572501,EI_EXPOSE_REP2,18,2,1,0.0134715025906735,0.0020725388601036,0.0003454231433506045,-1.0,0.0078740157480314,0.000868001736003472,0.0074349442379182,4.997161812611116e-05,-0.984251968503937,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,10,6969,3064,8134,41,0.0,0,5,36,46,0.0441075357535753,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,2580,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3743,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/IndexDescriptorImpl.java,setIsAscending,1185,close,"public void		setIsAscending(boolean[] isAscending)
	{
		this.isAscending = isAscending;
	}"
derby-B-115,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/ReferencedColumnsDescriptorImpl.java,3064,True,3,10,1282,1,0,188,1,16,0.3283582089552239,123,181,1.4715447154471544,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.001727115716753,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,6,6969,3064,8134,41,0.0,0,5,36,46,0.0441075357535753,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,1464,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2627,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/ReferencedColumnsDescriptorImpl.java,getTriggerActionReferencedColumnPositions,1185,close,"public int[] getTriggerActionReferencedColumnPositions()
	{
		return referencedColumnsInTriggerAction;
	}"
derby-B-116,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/ReferencedColumnsDescriptorImpl.java,3064,True,3,10,1282,1,0,188,1,16,0.3522388059701492,123,181,1.4715447154471544,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.001727115716753,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,0,1462,924,2627,41,0.0,0,5,36,46,0.0441075357535753,0,0,0,0,0,0,0,0.0,0,27,0,5,0,0,32,22,0.0198019801980198,1464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/ReferencedColumnsDescriptorImpl.java,getReferencedColumnPositions,1185,close,"public int[] getReferencedColumnPositions()
	{
		return referencedColumns;
	}"
derby-B-120,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/RoutineAliasInfo.java,3064,True,3,23,1282,1,0,188,1,16,0.4928131416837782,313,101,0.3226837060702875,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.0024179620034542,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,21,6969,3064,8134,41,0.3168316831683168,0,5,36,46,0.0441075357535753,27,5,0,32,5,22,27,0.3168316831683168,32,27,0,5,0,22,32,22,0.0198019801980198,22,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1185,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/RoutineAliasInfo.java,getParameterModes,1185,close,"public int[] getParameterModes() {
		return parameterModes;
	}"
derby-B-121,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/RoutineAliasInfo.java,3064,True,3,23,1282,1,0,188,1,16,0.5112936344969199,313,101,0.3226837060702875,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.0024179620034542,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,21,6969,3064,8134,41,0.3168316831683168,0,5,36,46,0.0441075357535753,27,5,0,32,5,22,27,0.3168316831683168,32,27,0,5,0,22,32,22,0.0198019801980198,22,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1185,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/RoutineAliasInfo.java,getParameterNames,1185,close,"public String[] getParameterNames() {
		return parameterNames;
	}"
derby-B-122,8134,org/apache/derby/catalog/types,org/apache/derby/catalog/types/RoutineAliasInfo.java,3064,True,3,23,1282,1,0,188,1,16,0.4845995893223819,313,101,0.3226837060702875,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,MALICIOUS_CODE,0.0345604808414725,EI_EXPOSE_REP,18,2,1,0.0134715025906735,0.0024179620034542,0.0003454231433506045,-1.0,0.0109890109890109,0.001207583625166,0.0074349442379182,4.997161812611116e-05,-0.978021978021978,0.0,0.0007163323782234957,4.997161812611116e-05,-1.0,-1.0,21,6969,3064,8134,41,0.3168316831683168,0,5,36,46,0.0441075357535753,27,5,0,32,5,22,27,0.3168316831683168,32,27,0,5,0,22,32,22,0.0198019801980198,22,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1185,8135,22,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/RoutineAliasInfo.java,getParameterTypes,1185,close,"public TypeDescriptor[] getParameterTypes() {
		return parameterTypes;
	}"
